habitat_label,n_obs,status,eunis_code,eunis_label,eunis_level,match,confidence,note,eunis_uri,decision
seichter Fluß,1,linked,C2.2,"Permanent non-tidal, fast, turbulent watercourses",3,close,0.80,Shallow running watercourse,http://eunis.eea.europa.eu/eunishabitats/C2.2,
Mistelbaum,1,review,G,"Woodland, forest and other wooded land",1,broad,0.50,Tree with mistletoe,http://eunis.eea.europa.eu/eunishabitats/G,
Ufer auf den großen Felsblöcken,1,linked,C3.7,Unvegetated or sparsely vegetated shores with non-mobile substrates,3,close,0.80,Unvegetated shores with non-mobile substrates,http://eunis.eea.europa.eu/eunishabitats/C3.7,
Eschenanlagen,1,linked,G1.C,Highly artificial broadleaved deciduous forestry plantations,3,close,0.70,Ash plantations or park areas,http://eunis.eea.europa.eu/eunishabitats/G1.C,
Strassen der Stadt,1,linked,J4.2,Road networks,3,exact,0.90,Road networks of cities,http://eunis.eea.europa.eu/eunishabitats/J4.2,
aufgestauter Reisighaufen im Fluß,1,linked,C2,Surface running waters,2,broad,0.70,Debris dam in running water,http://eunis.eea.europa.eu/eunishabitats/C2,
Vogelnutzgehölz,1,linked,FB.3,"Shrub plantations for ornamental purposes or for fruit, other than vineyards",3,close,0.70,Shrub plantation for ornamental/wildlife purposes,http://eunis.eea.europa.eu/eunishabitats/FB.3,
Fichte am Ufer,1,review,G1.1,"Riparian and gallery woodland, with dominant [Alnus], [Betula], [Populus] or [Salix]",3,broad,0.60,Spruce tree on riverbank,http://eunis.eea.europa.eu/eunishabitats/G1.1,
Sammlungshof,1,review,J1.2,Residential buildings of villages and urban peripheries,3,broad,0.60,Courtyard of a building complex,http://eunis.eea.europa.eu/eunishabitats/J1.2,
Fluren,1,linked,I1,Arable land and market gardens,2,broad,0.70,Open agricultural fields,http://eunis.eea.europa.eu/eunishabitats/I1,
Schilfund Rohrdickungen,1,linked,C3.2,Water-fringing reedbeds and tall helophytes other than canes,3,exact,0.90,Water-fringing reedbeds,http://eunis.eea.europa.eu/eunishabitats/C3.2,
Altwasserauen,1,linked,G1.2,Mixed riparian floodplain and gallery woodland,3,close,0.80,Mixed riparian floodplain woodland,http://eunis.eea.europa.eu/eunishabitats/G1.2,
Aue am Altwasser,1,linked,G1.2,Mixed riparian floodplain and gallery woodland,3,close,0.80,Floodplain woodland near oxbow lake,http://eunis.eea.europa.eu/eunishabitats/G1.2,
Uferwand,1,review,H3.2,Basic and ultra-basic inland cliffs,3,broad,0.60,River cliff or steep bank,http://eunis.eea.europa.eu/eunishabitats/H3.2,
Schlafzimmer,1,linked,J1,"Buildings of cities, towns and villages",2,broad,0.80,Bedroom inside a residential building,http://eunis.eea.europa.eu/eunishabitats/J1,
am Hause,1,linked,J1.2,Residential buildings of villages and urban peripheries,3,broad,0.80,Near the house,http://eunis.eea.europa.eu/eunishabitats/J1.2,
Flussbett,1,linked,C2,Surface running waters,2,exact,0.90,Riverbed,http://eunis.eea.europa.eu/eunishabitats/C2,
Kanalauslauf,1,linked,J5.4,Highly artificial non-saline running waters,3,close,0.80,"Canal outlet, artificial running water",http://eunis.eea.europa.eu/eunishabitats/J5.4,
Almaten fichten,1,linked,G3.1,[Abies] and [Picea] woodland,3,close,0.70,Subalpine spruce forest (Alm-Fichten),http://eunis.eea.europa.eu/eunishabitats/G3.1,
"Felsen, Hochwald",1,linked,G4,Mixed deciduous and coniferous woodland,2,close,0.70,"Rocky high forest, likely mixed",http://eunis.eea.europa.eu/eunishabitats/G4,
Kanalausfluß,1,linked,J5.4,Highly artificial non-saline running waters,3,close,0.80,Canal outlet,http://eunis.eea.europa.eu/eunishabitats/J5.4,
Dungstätten,1,linked,J6.4,Agricultural and horticultural waste,3,exact,0.90,"Manure heaps, agricultural waste",http://eunis.eea.europa.eu/eunishabitats/J6.4,
Schrotmist,1,linked,J6.4,Agricultural and horticultural waste,3,exact,0.90,Manure/dung heap,http://eunis.eea.europa.eu/eunishabitats/J6.4,
Landstraße bei den Kleingärten,1,linked,J4.2,Road networks,3,broad,0.80,Country road near allotment gardens,http://eunis.eea.europa.eu/eunishabitats/J4.2,
Sammlungsfenster in der Akademie,1,linked,J1.3,Urban and suburban public buildings,3,broad,0.80,Window of a public building (Academy),http://eunis.eea.europa.eu/eunishabitats/J1.3,
Wiesental,1,linked,E2,Mesic grasslands,2,close,0.90,"Meadow valley, mesic grassland",http://eunis.eea.europa.eu/eunishabitats/E2,
Knick,1,linked,FA,Hedgerows,2,exact,0.95,Hedgerow,http://eunis.eea.europa.eu/eunishabitats/FA,
Rohrwatt,1,linked,C3.2,Water-fringing reedbeds and tall helophytes other than canes,3,close,0.80,Reedbed in tidal/littoral zone,http://eunis.eea.europa.eu/eunishabitats/C3.2,
hohe Tannen,1,linked,G3.1,[Abies] and [Picea] woodland,3,close,0.90,Abies/Picea woodland,http://eunis.eea.europa.eu/eunishabitats/G3.1,
Sumpfwäldchen,1,linked,G1.4,Broadleaved swamp woodland not on acid peat,3,close,0.85,Broadleaved swamp woodland,http://eunis.eea.europa.eu/eunishabitats/G1.4,
"Hang mit Fichten, Föhren und einzelnen Lärchen",1,linked,G4,Mixed deciduous and coniferous woodland,2,close,0.90,Mixed coniferous forest on slope,http://eunis.eea.europa.eu/eunishabitats/G4,
Obstbaumanlage,1,linked,G1.D,Fruit and nut tree orchards,3,exact,0.95,Fruit orchards,http://eunis.eea.europa.eu/eunishabitats/G1.D,
Hausdach,1,linked,J1,"Buildings of cities, towns and villages",2,broad,0.90,House roof,http://eunis.eea.europa.eu/eunishabitats/J1,
Buchenwäldungen der Berghänge,1,linked,G1.6,[Fagus] woodland,3,close,0.90,Fagus woodland on mountain slopes,http://eunis.eea.europa.eu/eunishabitats/G1.6,
Felstrümmer,1,linked,H2,Screes,2,exact,0.90,Screes / rock debris,http://eunis.eea.europa.eu/eunishabitats/H2,
Altwassergraben,1,linked,C2.3,"Permanent non-tidal, smooth-flowing watercourses",3,close,0.80,Old river arm / ditch,http://eunis.eea.europa.eu/eunishabitats/C2.3,
Hochwald am Hang,1,linked,G,"Woodland, forest and other wooded land",1,close,0.80,High forest on slope,http://eunis.eea.europa.eu/eunishabitats/G,
Schilf eines kleinen Weihers,1,linked,C3.2,Water-fringing reedbeds and tall helophytes other than canes,3,exact,0.95,Water-fringing reedbeds,http://eunis.eea.europa.eu/eunishabitats/C3.2,
Blänke vor dem alten zerfallenen Entenhaus,1,linked,C1,Surface standing waters,2,broad,0.70,Pool in front of ruined duck house,http://eunis.eea.europa.eu/eunishabitats/C1,
Entenwiesen,1,linked,E3,Seasonally wet and wet grasslands,2,close,0.80,Wet meadows frequented by ducks,http://eunis.eea.europa.eu/eunishabitats/E3,
Steg zum Entenweiher,1,linked,J5,Highly artificial man-made waters and associated structures,2,broad,0.70,Jetty/bridge at artificial pond,http://eunis.eea.europa.eu/eunishabitats/J5,
am Steg,1,review,J5,Highly artificial man-made waters and associated structures,2,broad,0.60,At the jetty,http://eunis.eea.europa.eu/eunishabitats/J5,
am Rohrwald,1,linked,C3.2,Water-fringing reedbeds and tall helophytes other than canes,3,exact,0.90,At the reedbed,http://eunis.eea.europa.eu/eunishabitats/C3.2,
vom Steg aus,1,review,J5,Highly artificial man-made waters and associated structures,2,broad,0.60,From the jetty,http://eunis.eea.europa.eu/eunishabitats/J5,
Bäume längs der Straße,1,linked,G5.1,Lines of trees,3,exact,0.95,Lines of trees along road,http://eunis.eea.europa.eu/eunishabitats/G5.1,
"enges, von Laubwald hängen begrenztes Tal",1,linked,G1,Broadleaved deciduous woodland,2,broad,0.80,Narrow valley bounded by deciduous forest,http://eunis.eea.europa.eu/eunishabitats/G1,
Küchengarten,1,linked,I2.2,Small-scale ornamental and domestic garden areas,3,exact,0.95,Kitchen garden,http://eunis.eea.europa.eu/eunishabitats/I2.2,
Tannen und auf der Telephonleitung,1,linked,G3.1,[Abies] and [Picea] woodland,3,broad,0.70,Fir trees near telephone line,http://eunis.eea.europa.eu/eunishabitats/G3.1,
steile Felswand direkt an der Strasse,1,linked,H3.2,Basic and ultra-basic inland cliffs,3,close,0.80,Inland cliff next to road,http://eunis.eea.europa.eu/eunishabitats/H3.2,
Almhütten und Ziegenställe,1,linked,J2.4,Agricultural constructions,3,exact,0.90,Alpine huts and goat sheds,http://eunis.eea.europa.eu/eunishabitats/J2.4,
über der Baumgrenze,1,linked,E4,Alpine and subalpine grasslands,2,broad,0.70,Above the treeline (alpine zone),http://eunis.eea.europa.eu/eunishabitats/E4,
Felsbrücken,1,linked,H3,"Inland cliffs, rock pavements and outcrops",2,broad,0.70,Natural rock bridges,http://eunis.eea.europa.eu/eunishabitats/H3,
Eisrand,1,linked,H4.2,Ice caps and true glaciers,3,close,0.80,Edge of ice/glacier,http://eunis.eea.europa.eu/eunishabitats/H4.2,
Mooswald,1,review,G,"Woodland, forest and other wooded land",1,close,0.60,"Mossy forest, likely coniferous or bog forest",http://eunis.eea.europa.eu/eunishabitats/G,
Buchen - Eichenbestände längs des Baches,1,linked,G1.A,"Meso- and eutrophic [Quercus], [Carpinus], [Fraxinus], [Acer], [Tilia], [Ulmus] and related woodland",3,close,0.85,Fagus-Quercus stands along stream,http://eunis.eea.europa.eu/eunishabitats/G1.A,
totes Schilf bei den einzelnen Tannen,1,linked,C3.2,Water-fringing reedbeds and tall helophytes other than canes,3,broad,0.70,Dead reeds near isolated firs,http://eunis.eea.europa.eu/eunishabitats/C3.2,
Schwarzkiefer,1,linked,G3.5,[Pinus nigra] woodland,3,exact,0.95,Pinus nigra woodland,http://eunis.eea.europa.eu/eunishabitats/G3.5,
Rohrdickicht,1,linked,C3.2,Water-fringing reedbeds and tall helophytes other than canes,3,exact,0.95,Reed thicket,http://eunis.eea.europa.eu/eunishabitats/C3.2,
Binsen auf der Wiese,1,linked,E3,Seasonally wet and wet grasslands,2,close,0.85,Juncus on wet meadow,http://eunis.eea.europa.eu/eunishabitats/E3,
Haferfeld,1,linked,I1.1,Intensive unmixed crops,3,exact,0.95,Oat field,http://eunis.eea.europa.eu/eunishabitats/I1.1,
Schilf des Nordufers,1,linked,C3.2,Water-fringing reedbeds and tall helophytes other than canes,3,exact,0.95,Reedbed of north shore,http://eunis.eea.europa.eu/eunishabitats/C3.2,
nördlicher Schilfrand,1,linked,C3.2,Water-fringing reedbeds and tall helophytes other than canes,3,exact,0.95,Northern reedbed margin,http://eunis.eea.europa.eu/eunishabitats/C3.2,
überschwemmte Auen,1,linked,E3.4,Moist or wet eutrophic and mesotrophic grassland,3,close,0.80,Flooded alluvial meadows,http://eunis.eea.europa.eu/eunishabitats/E3.4,
Binsenansammlung,1,linked,D5.3,Swamps and marshes dominated by [Juncus effusus] or other large [Juncus] spp.,3,close,0.80,Juncus accumulation / swamp,http://eunis.eea.europa.eu/eunishabitats/D5.3,
Donau-Altwässer,1,linked,C1.2,"Permanent mesotrophic lakes, ponds and pools",3,close,0.90,"Altwasser, permanent mesotrophic standing water",http://eunis.eea.europa.eu/eunishabitats/C1.2,
Distelstlägen,1,linked,E5.1,Anthropogenic herb stands,3,close,0.80,"Ruderal thistle stands, anthropogenic herb stands",http://eunis.eea.europa.eu/eunishabitats/E5.1,
Riedwerk,1,linked,D5,"Sedge and reedbeds, normally without free-standing water",2,close,0.85,Sedge and reedbeds without free-standing water,http://eunis.eea.europa.eu/eunishabitats/D5,
Buschwerk am Wasser,1,linked,F9.1,Riverine scrub,3,close,0.90,Riverine scrub,http://eunis.eea.europa.eu/eunishabitats/F9.1,
Weißdornbusch mitten im Feld,1,linked,FA.4,Species-poor hedgerows of native species,3,broad,0.80,Single hawthorn bush or species-poor hedge in field,http://eunis.eea.europa.eu/eunishabitats/FA.4,
Buchenholz,1,linked,G1.6,[Fagus] woodland,3,exact,1.00,Fagus woodland,http://eunis.eea.europa.eu/eunishabitats/G1.6,
vorjährige Gebestände,1,linked,E5.1,Anthropogenic herb stands,3,close,0.70,Old tall-herb stands from previous year,http://eunis.eea.europa.eu/eunishabitats/E5.1,
Ach,1,linked,C2.2,"Permanent non-tidal, fast, turbulent watercourses",3,close,0.90,Fast-flowing alpine/subalpine stream,http://eunis.eea.europa.eu/eunishabitats/C2.2,
Buchenlagen,1,linked,G1.6,[Fagus] woodland,3,close,0.90,Fagus woodland zones,http://eunis.eea.europa.eu/eunishabitats/G1.6,
"Schilf, Rohr und Binsen",1,linked,C3.2,Water-fringing reedbeds and tall helophytes other than canes,3,exact,0.95,Water-fringing reedbeds and tall helophytes,http://eunis.eea.europa.eu/eunishabitats/C3.2,
Kiefernheide,1,linked,G3.4,[Pinus sylvestris] woodland south of the taiga,3,close,0.85,Pinus sylvestris woodland on dry/sandy soil,http://eunis.eea.europa.eu/eunishabitats/G3.4,
gemischter Wald,1,linked,G4,Mixed deciduous and coniferous woodland,2,exact,1.00,Mixed deciduous and coniferous woodland,http://eunis.eea.europa.eu/eunishabitats/G4,
Buchenjungwald,1,linked,G5.6,Early-stage natural and semi-natural woodlands and regrowth,3,close,0.85,Early-stage Fagus woodland regrowth,http://eunis.eea.europa.eu/eunishabitats/G5.6,
gemischten Hochwald,1,linked,G4,Mixed deciduous and coniferous woodland,2,close,0.95,Mature mixed forest,http://eunis.eea.europa.eu/eunishabitats/G4,
Isarwald,1,linked,G1.2,Mixed riparian floodplain and gallery woodland,3,close,0.90,Riparian floodplain forest along the Isar,http://eunis.eea.europa.eu/eunishabitats/G1.2,
Wäldchen unweit des merkwürdigen Moostümpels,1,linked,G5.2,Small broadleaved deciduous anthropogenic woodlands,3,broad,0.80,Small broadleaved woodland near a bog pool,http://eunis.eea.europa.eu/eunishabitats/G5.2,
Altwasser beim Durchbruch,1,linked,C1.2,"Permanent mesotrophic lakes, ponds and pools",3,close,0.85,Oxbow lake near river breakthrough,http://eunis.eea.europa.eu/eunishabitats/C1.2,
Dächer der gegenüberliegenden Häuser,1,linked,J1,"Buildings of cities, towns and villages",2,broad,0.95,Roofs of buildings,http://eunis.eea.europa.eu/eunishabitats/J1,
Brackwassersumpf,1,linked,D6,Inland saline and brackish marshes and reedbeds,2,exact,0.95,Inland saline and brackish marshes,http://eunis.eea.europa.eu/eunishabitats/D6,
Buschwerk der Sumpfniederung,1,linked,F9.2,[Salix] carr and fen scrub,3,close,0.90,Salix carr and fen scrub,http://eunis.eea.europa.eu/eunishabitats/F9.2,
Talniederung,1,review,E3,Seasonally wet and wet grasslands,2,broad,0.60,"Valley lowland, typically wet grassland",http://eunis.eea.europa.eu/eunishabitats/E3,
Hänge,1,review,H3,"Inland cliffs, rock pavements and outcrops",2,broad,0.50,"Slopes, often rocky or grassy",http://eunis.eea.europa.eu/eunishabitats/H3,
Felsenküste,1,linked,B3,"Rock cliffs, ledges and shores, including the supralittoral",2,exact,0.95,"Rock cliffs, ledges and shores",http://eunis.eea.europa.eu/eunishabitats/B3,
Macchia,1,linked,F5.2,Maquis,3,exact,1.00,Maquis,http://eunis.eea.europa.eu/eunishabitats/F5.2,
Sandufer,1,linked,C3.6,Unvegetated or sparsely vegetated shores with soft or mobile sediments,3,close,0.90,Unvegetated or sparsely vegetated sandy shores,http://eunis.eea.europa.eu/eunishabitats/C3.6,
Oliven und Dornbüschen,1,linked,G2.9,Evergreen orchards and groves,3,broad,0.80,Olive groves with thorny scrub,http://eunis.eea.europa.eu/eunishabitats/G2.9,
Schildkrötensümpfe,1,linked,C1.3,"Permanent eutrophic lakes, ponds and pools",3,broad,0.70,Eutrophic ponds/swamps inhabited by turtles,http://eunis.eea.europa.eu/eunishabitats/C1.3,
Schilf- und Distelgestrüpp,1,linked,C3.2,Water-fringing reedbeds and tall helophytes other than canes,3,close,0.80,Reedbeds mixed with ruderal thistles,http://eunis.eea.europa.eu/eunishabitats/C3.2,
Telegraphendraht über dem Campus,1,linked,J4,Transport networks and other constructed hard-surfaced areas,2,broad,0.90,Utility wire over constructed area,http://eunis.eea.europa.eu/eunishabitats/J4,
Macchia-Hänge,1,linked,F5.2,Maquis,3,close,0.95,Maquis-covered slopes,http://eunis.eea.europa.eu/eunishabitats/F5.2,
Salzwasserquelle,1,linked,C2.1,"Springs, spring brooks and geysers",3,close,0.80,Saline spring,http://eunis.eea.europa.eu/eunishabitats/C2.1,
Felsen der Küste,1,linked,B3,"Rock cliffs, ledges and shores, including the supralittoral",2,exact,0.95,Coastal rocks,http://eunis.eea.europa.eu/eunishabitats/B3,
Macchien,1,linked,F5.2,Maquis,3,exact,1.00,Maquis,http://eunis.eea.europa.eu/eunishabitats/F5.2,
niedere Büsche,1,linked,F3,Temperate and mediterranean-montane scrub,2,broad,0.80,Low shrubs,http://eunis.eea.europa.eu/eunishabitats/F3,
feucht gehaltene Plätze,1,review,E3,Seasonally wet and wet grasslands,2,broad,0.60,Damp or wet grassy places,http://eunis.eea.europa.eu/eunishabitats/E3,
Moor in der nächsten Nähe des Ufers,1,linked,D2,"Valley mires, poor fens and transition mires",2,close,0.80,Mire/fen near a shore,http://eunis.eea.europa.eu/eunishabitats/D2,
Übergang von Camposvegetation in Macchie der Hänge,1,linked,F5.2,Maquis,3,broad,0.80,Transition from open grassland to maquis,http://eunis.eea.europa.eu/eunishabitats/F5.2,
Gestrüpp der Macchie,1,linked,F5.2,Maquis,3,close,0.95,Maquis scrub,http://eunis.eea.europa.eu/eunishabitats/F5.2,
steil zum Meer abfallende Küste,1,linked,B3,"Rock cliffs, ledges and shores, including the supralittoral",2,close,0.95,Steep sea cliffs,http://eunis.eea.europa.eu/eunishabitats/B3,
felsige Steilabbrüche,1,linked,H3.2,Basic and ultra-basic inland cliffs,3,close,0.85,Inland basic/calcareous cliffs,http://eunis.eea.europa.eu/eunishabitats/H3.2,
"Birnbäume und Platanen, kleine Teiche",1,linked,X11,Large parks,2,close,0.70,Mosaic of park trees and small ponds,http://eunis.eea.europa.eu/eunishabitats/X11,
alte Distelbestände,1,linked,E5.1,Anthropogenic herb stands,3,close,0.80,Anthropogenic herb stands with thistles,http://eunis.eea.europa.eu/eunishabitats/E5.1,
Birnbaum-Bestände,1,linked,G1.D,Fruit and nut tree orchards,3,close,0.90,Fruit orchards (pear trees),http://eunis.eea.europa.eu/eunishabitats/G1.D,
Binnen-Lagunen,1,linked,X03,Brackish coastal lagoons,2,close,0.80,Brackish coastal lagoons,http://eunis.eea.europa.eu/eunishabitats/X03,
Schwemmlandgebiet,1,linked,C3.5,Periodically inundated shores with pioneer and ephemeral vegetation,3,close,0.70,Periodically inundated alluvial shores,http://eunis.eea.europa.eu/eunishabitats/C3.5,
seichtes Wasser nahe dem Schilfrand,1,linked,C3.2,Water-fringing reedbeds and tall helophytes other than canes,3,close,0.90,Shallow water near reedbeds,http://eunis.eea.europa.eu/eunishabitats/C3.2,
Lagunen und Verlandungsstellen,1,linked,X03,Brackish coastal lagoons,2,close,0.70,Lagoons and silting-up zones,http://eunis.eea.europa.eu/eunishabitats/X03,
Felsen des Kapes,1,linked,B3,"Rock cliffs, ledges and shores, including the supralittoral",2,close,0.90,Coastal rock cliffs and shores,http://eunis.eea.europa.eu/eunishabitats/B3,
Büsche am Kamme des Kapes,1,linked,F5,"Maquis, arborescent matorral and thermo-Mediterranean brushes",2,close,0.80,Mediterranean coastal scrub / maquis,http://eunis.eea.europa.eu/eunishabitats/F5,
Verlandungsgebiet der Flußmündung,1,linked,X01,Estuaries,2,broad,0.80,Estuary silting-up zone,http://eunis.eea.europa.eu/eunishabitats/X01,
bewegtes Meer,1,linked,A7,Pelagic water column,2,broad,0.80,Pelagic water column,http://eunis.eea.europa.eu/eunishabitats/A7,
Felsblöcke am Ufer,1,linked,C3.7,Unvegetated or sparsely vegetated shores with non-mobile substrates,3,close,0.80,Inland water shores with non-mobile substrates,http://eunis.eea.europa.eu/eunishabitats/C3.7,
Felsblöcke am Meer,1,linked,A1,Littoral rock and other hard substrata,2,close,0.90,Littoral rock and hard substrata,http://eunis.eea.europa.eu/eunishabitats/A1,
Olivenbäume,1,linked,G2.9,Evergreen orchards and groves,3,close,0.90,Olive groves,http://eunis.eea.europa.eu/eunishabitats/G2.9,
Hafen in der Bucht,1,linked,J4.5,Hard-surfaced areas of ports,3,broad,0.80,Hard-surfaced areas of ports,http://eunis.eea.europa.eu/eunishabitats/J4.5,
steinige Hänge und Weingärten,1,linked,FB.4,Vineyards,3,broad,0.80,Vineyards on stony slopes,http://eunis.eea.europa.eu/eunishabitats/FB.4,
einzeln stehende Oliven und Obstbäume,1,linked,X14,Land sparsely wooded with broadleaved evergreen trees,2,close,0.70,Sparsely wooded land with evergreen/fruit trees,http://eunis.eea.europa.eu/eunishabitats/X14,
alter Olivenbestand,1,linked,G2.4,[Olea europaea] - [Ceratonia siliqua] woodland,3,close,0.90,Olea europaea woodland,http://eunis.eea.europa.eu/eunishabitats/G2.4,
Oliven am Hafen,1,linked,G2.4,[Olea europaea] - [Ceratonia siliqua] woodland,3,close,0.70,Olive trees near port,http://eunis.eea.europa.eu/eunishabitats/G2.4,
Hafenplatz,1,linked,J4.5,Hard-surfaced areas of ports,3,close,0.90,Port area,http://eunis.eea.europa.eu/eunishabitats/J4.5,
Oliven am Lager,1,linked,G2.4,[Olea europaea] - [Ceratonia siliqua] woodland,3,close,0.70,Olive trees near camp,http://eunis.eea.europa.eu/eunishabitats/G2.4,
Schilfrinnen,1,linked,C3.2,Water-fringing reedbeds and tall helophytes other than canes,3,close,0.80,Water-fringing reedbeds in channels,http://eunis.eea.europa.eu/eunishabitats/C3.2,
Erlwald,1,linked,G1.1,"Riparian and gallery woodland, with dominant [Alnus], [Betula], [Populus] or [Salix]",3,exact,0.95,Riparian alder forest,http://eunis.eea.europa.eu/eunishabitats/G1.1,
Distelbestände,1,linked,E5.1,Anthropogenic herb stands,3,close,0.80,Thistle stands,http://eunis.eea.europa.eu/eunishabitats/E5.1,
Flußrinne,1,linked,C2,Surface running waters,2,broad,0.80,River channel,http://eunis.eea.europa.eu/eunishabitats/C2,
Höfe und Waldränder,1,review,J2,Low density buildings,2,broad,0.60,Courtyards and forest edges,http://eunis.eea.europa.eu/eunishabitats/J2,
Hafengebiet,1,linked,J4.5,Hard-surfaced areas of ports,3,close,0.90,Port area,http://eunis.eea.europa.eu/eunishabitats/J4.5,
Fichten-Stadtwald,1,linked,G3.1,[Abies] and [Picea] woodland,3,close,0.80,Urban spruce forest,http://eunis.eea.europa.eu/eunishabitats/G3.1,
Böschungen der Befestigungsbauten des Schlosses,1,linked,J2.5,Constructed boundaries,3,broad,0.70,Slopes of castle fortifications,http://eunis.eea.europa.eu/eunishabitats/J2.5,
Naturschutz-Park,1,review,X11,Large parks,2,broad,0.50,Nature park / large park,http://eunis.eea.europa.eu/eunishabitats/X11,
Bäume eines nahen Parks,1,linked,X11,Large parks,2,close,0.80,Park trees,http://eunis.eea.europa.eu/eunishabitats/X11,
Wald am Hang,1,linked,G,"Woodland, forest and other wooded land",1,close,0.90,Slope forest,http://eunis.eea.europa.eu/eunishabitats/G,
Wiesen längs der Bahn,1,linked,E2,Mesic grasslands,2,close,0.80,Meadows along railway,http://eunis.eea.europa.eu/eunishabitats/E2,
Feldhölzchen,1,linked,G5.2,Small broadleaved deciduous anthropogenic woodlands,3,close,0.80,Small broadleaved deciduous copses,http://eunis.eea.europa.eu/eunishabitats/G5.2,
Büschenwald,1,linked,F3,Temperate and mediterranean-montane scrub,2,close,0.70,Scrub / thicket,http://eunis.eea.europa.eu/eunishabitats/F3,
Kiefernbruch,1,linked,G3.D,Boreal bog conifer woodland,3,close,0.80,Boreal/nemoral bog pine woodland,http://eunis.eea.europa.eu/eunishabitats/G3.D,
Tannenhecke,1,linked,FA,Hedgerows,2,close,0.80,Conifer hedge,http://eunis.eea.europa.eu/eunishabitats/FA,
lichte Buchenhänge,1,linked,G1.6,[Fagus] woodland,3,close,0.90,Open beech-covered slopes,http://eunis.eea.europa.eu/eunishabitats/G1.6,
Strandbad,1,linked,J4.6,Pavements and recreation areas,3,broad,0.70,Lido / recreational beach area,http://eunis.eea.europa.eu/eunishabitats/J4.6,
offene Felder,1,linked,I1,Arable land and market gardens,2,close,0.80,Open agricultural fields,http://eunis.eea.europa.eu/eunishabitats/I1,
Tannen im Moos,1,linked,G3.1,[Abies] and [Picea] woodland,3,close,0.80,Abies woodland on boggy/mossy ground,http://eunis.eea.europa.eu/eunishabitats/G3.1,
alte Spechthöhlen,1,linked,G,"Woodland, forest and other wooded land",1,broad,0.70,Microhabitat in woodland trees,http://eunis.eea.europa.eu/eunishabitats/G,
Birkengehölz,1,linked,G1.9,"Non-riverine woodland with [Betula], [Populus tremula] or [Sorbus aucuparia]",3,exact,0.90,Non-riverine birch woodland,http://eunis.eea.europa.eu/eunishabitats/G1.9,
Eichen - Erlen Bestand,1,linked,G1.A,"Meso- and eutrophic [Quercus], [Carpinus], [Fraxinus], [Acer], [Tilia], [Ulmus] and related woodland",3,close,0.80,"Oak-alder stand, likely mesotrophic woodland",http://eunis.eea.europa.eu/eunishabitats/G1.A,
Seegras,1,linked,C1,Surface standing waters,2,broad,0.70,Submerged vegetation in standing water,http://eunis.eea.europa.eu/eunishabitats/C1,
See und Schilf,1,linked,C3.2,Water-fringing reedbeds and tall helophytes other than canes,3,close,0.90,Lake and water-fringing reedbeds,http://eunis.eea.europa.eu/eunishabitats/C3.2,
Obstbäume am Haus,1,linked,I2.2,Small-scale ornamental and domestic garden areas,3,close,0.90,Fruit trees in domestic gardens,http://eunis.eea.europa.eu/eunishabitats/I2.2,
Schilf-Fluren,1,linked,C3.2,Water-fringing reedbeds and tall helophytes other than canes,3,exact,0.95,Water-fringing reedbeds,http://eunis.eea.europa.eu/eunishabitats/C3.2,
angeschwemmtes Holz,1,linked,C3.6,Unvegetated or sparsely vegetated shores with soft or mobile sediments,3,broad,0.70,Driftwood on shores,http://eunis.eea.europa.eu/eunishabitats/C3.6,
Schotter-Ansammlungen,1,linked,C3.6,Unvegetated or sparsely vegetated shores with soft or mobile sediments,3,close,0.80,Gravel shores or riverbeds,http://eunis.eea.europa.eu/eunishabitats/C3.6,
Weidenknust,1,linked,F9.2,[Salix] carr and fen scrub,3,close,0.80,Willow clump/scrub,http://eunis.eea.europa.eu/eunishabitats/F9.2,
Schilf im Weidicht,1,linked,F9.2,[Salix] carr and fen scrub,3,close,0.85,Reed within willow carr/scrub,http://eunis.eea.europa.eu/eunishabitats/F9.2,
Astwerk,1,review,G,"Woodland, forest and other wooded land",1,broad,0.60,"Tree branches, microhabitat",http://eunis.eea.europa.eu/eunishabitats/G,
angeschwemmtes Astgewirr,1,linked,C3.6,Unvegetated or sparsely vegetated shores with soft or mobile sediments,3,broad,0.70,Driftwood/branches on shores,http://eunis.eea.europa.eu/eunishabitats/C3.6,
Bruchstücke,1,no_match,,,,none,0.10,"Fragments, not a habitat",,
Dickicht der Erlen-Säumung,1,linked,F9.1,Riverine scrub,3,close,0.85,Alder fringe scrub,http://eunis.eea.europa.eu/eunishabitats/F9.1,
Schilf und Weidicht,1,linked,F9.2,[Salix] carr and fen scrub,3,close,0.90,Reed and willow scrub,http://eunis.eea.europa.eu/eunishabitats/F9.2,
Weidendickicht,1,linked,F9.2,[Salix] carr and fen scrub,3,exact,0.95,Willow carr and fen scrub,http://eunis.eea.europa.eu/eunishabitats/F9.2,
Bäume und Dächer,1,linked,J1.2,Residential buildings of villages and urban peripheries,3,broad,0.80,Village/suburban trees and roofs,http://eunis.eea.europa.eu/eunishabitats/J1.2,
Dorfstraße,1,linked,J4.2,Road networks,3,close,0.90,Village road network,http://eunis.eea.europa.eu/eunishabitats/J4.2,
Böschungsstein an der Straßenkante,1,linked,J4.2,Road networks,3,broad,0.80,Roadside stone embankment,http://eunis.eea.europa.eu/eunishabitats/J4.2,
